miRNA_ID	Target_ID
hsa-miR-143-3p	ENSG00000133703
hsa-miR-184	ENSG00000105221
hsa-miR-143-3p	ENSG00000196586
hsa-miR-143-3p	ENSG00000119772
hsa-miR-143-3p	ENSG00000075420
hsa-miR-143-3p	ENSG00000166484
hsa-miR-143-3p	ENSG00000108821
hsa-miR-184	ENSG00000165458
hsa-miR-184	ENSG00000101096
hsa-miR-143-3p	ENSG00000075618
hsa-miR-143-3p	ENSG00000159399
hsa-miR-143-3p	ENSG00000106366
hsa-miR-143-3p	ENSG00000189283
hsa-miR-143-3p	ENSG00000183742
hsa-miR-143-3p	ENSG00000073756
hsa-miR-143-3p	ENSG00000101384
hsa-miR-143-3p	ENSG00000142208
hsa-miR-143-3p	ENSG00000135679
hsa-miR-143-3p	ENSG00000171791
hsa-miR-181a-2-3p	ENSG00000117713
hsa-miR-143-3p	ENSG00000026508
hsa-miR-143-3p	ENSG00000102554
hsa-miR-143-3p	ENSG00000157764
hsa-miR-143-3p	ENSG00000135341
hsa-miR-143-3p	ENSG00000115526
hsa-miR-143-3p	ENSG00000100030
hsa-miR-143-3p	ENSG00000130635
hsa-miR-143-3p	ENSG00000134853
hsa-miR-143-3p	ENSG00000166949
hsa-miR-143-3p	ENSG00000198561
hsa-miR-143-3p	ENSG00000204262
hsa-miR-143-3p	ENSG00000065361
hsa-miR-143-3p	ENSG00000140443
hsa-miR-184	ENSG00000171056
hsa-miR-450b-5p	ENSG00000183508
hsa-miR-6516-5p	ENSG00000110987
hsa-miR-6516-5p	ENSG00000179456
hsa-miR-450b-5p	ENSG00000198668
hsa-miR-143-3p	ENSG00000124209
hsa-miR-7974	ENSG00000132825
hsa-miR-143-3p	ENSG00000091009
hsa-miR-143-3p	ENSG00000106346
hsa-miR-450b-5p	ENSG00000203668
hsa-miR-143-3p	ENSG00000162368
hsa-miR-6516-5p	ENSG00000265972
hsa-miR-450b-5p	ENSG00000130164
hsa-miR-450b-5p	ENSG00000030419
hsa-miR-6516-5p	ENSG00000114353
hsa-miR-450b-5p	ENSG00000068366
hsa-miR-143-3p	ENSG00000156671
hsa-miR-450b-5p	ENSG00000118058
hsa-miR-450b-5p	ENSG00000139697
hsa-miR-450b-5p	ENSG00000117713
hsa-miR-143-3p	ENSG00000134717
hsa-miR-143-3p	ENSG00000136504
hsa-miR-6516-5p	ENSG00000156273
hsa-miR-450b-5p	ENSG00000196792
hsa-miR-6516-5p	ENSG00000196233
hsa-miR-450b-5p	ENSG00000089157
hsa-miR-6516-5p	ENSG00000146731
hsa-miR-181a-2-3p	ENSG00000180667
hsa-miR-143-3p	ENSG00000139112
hsa-miR-6516-5p	ENSG00000157933
hsa-miR-450b-5p	ENSG00000157933
hsa-miR-450b-5p	ENSG00000205423
hsa-miR-450b-5p	ENSG00000142864
hsa-miR-450b-5p	ENSG00000182831
hsa-miR-143-3p	ENSG00000083844
hsa-miR-450b-5p	ENSG00000155304
hsa-miR-450b-5p	ENSG00000146676
hsa-miR-450b-5p	ENSG00000104331
hsa-miR-450b-5p	ENSG00000122126
hsa-miR-450b-5p	ENSG00000160131
hsa-miR-143-3p	ENSG00000160014
hsa-miR-6516-5p	ENSG00000164164
hsa-miR-450b-5p	ENSG00000123219
hsa-miR-6516-5p	ENSG00000126391
hsa-miR-450b-5p	ENSG00000124783
hsa-miR-143-3p	ENSG00000160991
hsa-miR-450b-5p	ENSG00000052795
hsa-miR-143-3p	ENSG00000177463
hsa-miR-184	ENSG00000123908
hsa-miR-143-3p	ENSG00000131724
hsa-miR-184	ENSG00000136997
hsa-miR-143-3p	ENSG00000110367
hsa-miR-143-3p	ENSG00000106683
hsa-miR-143-3p	ENSG00000101076
hsa-miR-143-3p	ENSG00000137757
hsa-miR-143-3p	ENSG00000183423
hsa-miR-450b-5p	ENSG00000167562
hsa-miR-450b-5p	ENSG00000203326
hsa-miR-181a-2-3p	ENSG00000138769
hsa-miR-143-3p	ENSG00000161048
hsa-miR-450b-5p	ENSG00000080200
hsa-miR-450b-5p	ENSG00000196743
hsa-miR-143-3p	ENSG00000182752
hsa-miR-143-3p	ENSG00000154978
hsa-miR-6516-5p	ENSG00000141622
hsa-miR-143-3p	ENSG00000188938
hsa-miR-143-3p	ENSG00000125462
hsa-miR-7974	ENSG00000187239
hsa-miR-143-3p	ENSG00000130313
hsa-miR-6516-5p	ENSG00000189144
hsa-miR-184	ENSG00000105289
hsa-miR-6516-5p	ENSG00000156411
hsa-miR-6516-5p	ENSG00000096060
hsa-miR-6516-5p	ENSG00000245680
hsa-miR-450b-5p	ENSG00000156482
hsa-miR-6516-5p	ENSG00000156482
hsa-miR-6516-5p	ENSG00000105483
hsa-miR-6516-5p	ENSG00000114126
hsa-miR-6516-5p	ENSG00000114023
hsa-miR-6516-5p	ENSG00000135679
hsa-miR-6516-5p	ENSG00000162946
hsa-miR-6516-5p	ENSG00000187980
hsa-miR-6516-5p	ENSG00000187010
hsa-miR-6516-5p	ENSG00000160439
hsa-miR-6516-5p	ENSG00000187715
hsa-miR-6516-5p	ENSG00000183323
hsa-miR-6516-5p	ENSG00000125651
hsa-miR-6516-5p	ENSG00000111696
hsa-miR-6516-5p	ENSG00000169359
hsa-miR-6516-5p	ENSG00000179820
hsa-miR-6516-5p	ENSG00000123130
hsa-miR-6516-5p	ENSG00000173614
hsa-miR-6516-5p	ENSG00000102007
hsa-miR-143-3p	ENSG00000134684
hsa-miR-6516-5p	ENSG00000137413
hsa-miR-6516-5p	ENSG00000126953
hsa-miR-6516-5p	ENSG00000117400
hsa-miR-6516-5p	ENSG00000124243
hsa-miR-6516-5p	ENSG00000165841
hsa-miR-6516-5p	ENSG00000168116
hsa-miR-6516-5p	ENSG00000158769
hsa-miR-6516-5p	ENSG00000254415
hsa-miR-6516-5p	ENSG00000182534
hsa-miR-6516-5p	ENSG00000162999
hsa-miR-6516-5p	ENSG00000186866
hsa-miR-6516-5p	ENSG00000188177
hsa-miR-6516-5p	ENSG00000198466
hsa-miR-6516-5p	ENSG00000130119
hsa-miR-6516-5p	ENSG00000185792
hsa-miR-6516-5p	ENSG00000100271
hsa-miR-6516-5p	ENSG00000214113
hsa-miR-6516-5p	ENSG00000152939
hsa-miR-6516-5p	ENSG00000197408
hsa-miR-6516-5p	ENSG00000177238
hsa-miR-6516-5p	ENSG00000163082
hsa-miR-6516-5p	ENSG00000176723
