miRNA_ID	Target_ID
hsa-miR-27a-3p	ENSG00000159216
hsa-miR-143-3p	ENSG00000133703
hsa-miR-143-3p	ENSG00000196586
hsa-miR-143-3p	ENSG00000119772
hsa-miR-27a-3p	ENSG00000150907
hsa-miR-27a-3p	ENSG00000167085
hsa-miR-27b-3p	ENSG00000148400
hsa-miR-27a-3p	ENSG00000205189
hsa-miR-27a-3p	ENSG00000196132
hsa-miR-23b-3p	ENSG00000148400
hsa-miR-23a-3p	ENSG00000107562
hsa-miR-27a-3p	ENSG00000105866
hsa-miR-27a-3p	ENSG00000172845
hsa-miR-27a-3p	ENSG00000185591
hsa-miR-23a-3p	ENSG00000114315
hsa-miR-143-3p	ENSG00000075420
hsa-miR-27b-3p	ENSG00000149418
hsa-miR-23b-3p	ENSG00000101412
hsa-miR-27b-3p	ENSG00000137745
hsa-miR-143-3p	ENSG00000166484
hsa-miR-23a-3p	ENSG00000151615
hsa-miR-143-3p	ENSG00000108821
hsa-miR-23b-3p	ENSG00000122861
hsa-miR-23b-3p	ENSG00000105976
hsa-miR-27b-3p	ENSG00000170425
hsa-miR-23a-3p	ENSG00000137343
hsa-miR-27b-3p	ENSG00000138061
hsa-miR-27b-3p	ENSG00000132170
hsa-miR-27a-3p	ENSG00000064393
hsa-miR-27a-3p	ENSG00000151090
hsa-miR-27a-3p	ENSG00000136158
hsa-miR-23a-3p	ENSG00000160712
hsa-miR-24-1-5p	ENSG00000178235
hsa-miR-27b-3p	ENSG00000151617
hsa-miR-27b-3p	ENSG00000112319
hsa-miR-143-3p	ENSG00000075618
hsa-miR-27a-3p	ENSG00000166483
hsa-miR-27b-3p	ENSG00000166483
hsa-miR-27a-3p	ENSG00000134982
hsa-miR-23a-3p	ENSG00000109819
hsa-miR-23a-3p	ENSG00000131482
hsa-miR-23a-3p	ENSG00000118689
hsa-miR-143-3p	ENSG00000159399
hsa-miR-143-3p	ENSG00000106366
hsa-miR-27a-3p	ENSG00000109670
hsa-miR-143-3p	ENSG00000189283
hsa-miR-27a-3p	ENSG00000017427
hsa-miR-143-3p	ENSG00000183742
hsa-miR-27b-3p	ENSG00000111424
hsa-miR-27b-3p	ENSG00000160868
hsa-miR-27a-3p	ENSG00000135903
hsa-miR-27b-3p	ENSG00000135903
hsa-miR-27b-3p	ENSG00000129315
hsa-miR-27a-3p	ENSG00000137745
hsa-miR-143-3p	ENSG00000073756
hsa-miR-23b-3p	ENSG00000142875
hsa-miR-143-3p	ENSG00000101384
hsa-miR-23a-3p	ENSG00000221829
hsa-miR-23a-3p	ENSG00000109061
hsa-miR-23a-3p	ENSG00000125414
hsa-miR-23a-3p	ENSG00000264424
hsa-miR-23b-3p	ENSG00000120899
hsa-miR-23a-3p	ENSG00000171862
hsa-miR-27b-3p	ENSG00000088247
hsa-miR-23b-3p	ENSG00000134086
hsa-miR-23b-3p	ENSG00000157625
hsa-miR-23b-3p	ENSG00000055208
hsa-miR-23b-3p	ENSG00000213341
hsa-miR-23b-3p	ENSG00000171862
hsa-miR-27a-3p	ENSG00000165029
hsa-miR-27a-3p	ENSG00000083642
hsa-miR-23a-3p	ENSG00000179295
hsa-miR-143-3p	ENSG00000142208
hsa-miR-143-3p	ENSG00000135679
hsa-miR-23a-3p	ENSG00000198830
hsa-miR-27a-3p	ENSG00000116044
hsa-miR-143-3p	ENSG00000171791
hsa-miR-27a-3p	ENSG00000146648
hsa-miR-23b-3p	ENSG00000163214
hsa-miR-23b-3p	ENSG00000015133
hsa-miR-23b-3p	ENSG00000075239
hsa-miR-23b-3p	ENSG00000139800
hsa-miR-23b-3p	ENSG00000134255
hsa-miR-23b-3p	ENSG00000198954
hsa-miR-23b-3p	ENSG00000145907
hsa-miR-23b-3p	ENSG00000196072
hsa-miR-23b-3p	ENSG00000107864
hsa-miR-23b-3p	ENSG00000132466
hsa-miR-23b-3p	ENSG00000179119
hsa-miR-23b-3p	ENSG00000136146
hsa-miR-23b-3p	ENSG00000173757
hsa-miR-23b-3p	ENSG00000100941
hsa-miR-23b-3p	ENSG00000164144
hsa-miR-23b-3p	ENSG00000023516
hsa-miR-23b-3p	ENSG00000124562
hsa-miR-23b-3p	ENSG00000203880
hsa-miR-23b-3p	ENSG00000180398
hsa-miR-27a-3p	ENSG00000166848
hsa-miR-27a-3p	ENSG00000050405
hsa-miR-27a-3p	ENSG00000105447
hsa-miR-27a-3p	ENSG00000151923
hsa-miR-27a-3p	ENSG00000069966
hsa-miR-27a-3p	ENSG00000176619
hsa-miR-27a-3p	ENSG00000100784
hsa-miR-27a-3p	ENSG00000139718
hsa-miR-27a-3p	ENSG00000139324
hsa-miR-27a-3p	ENSG00000172201
hsa-miR-27a-3p	ENSG00000164967
hsa-miR-27a-3p	ENSG00000170540
hsa-miR-27a-3p	ENSG00000179943
hsa-miR-27a-3p	ENSG00000153310
hsa-miR-27a-3p	ENSG00000176018
hsa-miR-27a-3p	ENSG00000198961
hsa-miR-27a-3p	ENSG00000143149
hsa-miR-27a-3p	ENSG00000145391
hsa-miR-27a-3p	ENSG00000189067
hsa-miR-27a-3p	ENSG00000110066
hsa-miR-27a-3p	ENSG00000112697
hsa-miR-27a-3p	ENSG00000180537
hsa-miR-27a-3p	ENSG00000146263
hsa-miR-27a-3p	ENSG00000069329
hsa-miR-27a-3p	ENSG00000181690
hsa-miR-27a-3p	ENSG00000163611
hsa-miR-27a-3p	ENSG00000182957
hsa-miR-27a-3p	ENSG00000155313
hsa-miR-27a-3p	ENSG00000143815
hsa-miR-27a-3p	ENSG00000066933
hsa-miR-27a-3p	ENSG00000114346
hsa-miR-27a-3p	ENSG00000166123
hsa-miR-27a-3p	ENSG00000183530
hsa-miR-27a-3p	ENSG00000197757
hsa-miR-27a-3p	ENSG00000137166
hsa-miR-27a-3p	ENSG00000185127
hsa-miR-27a-3p	ENSG00000011258
hsa-miR-27a-3p	ENSG00000178904
hsa-miR-27a-3p	ENSG00000128585
hsa-miR-27a-3p	ENSG00000154511
hsa-miR-27a-3p	ENSG00000153561
hsa-miR-27a-3p	ENSG00000114019
