miRNA_ID	Target_ID
hsa-miR-1229-3p	ENSG00000142949
hsa-miR-1229-3p	ENSG00000083844
hsa-miR-1229-3p	ENSG00000120948
hsa-miR-1229-3p	ENSG00000074842
hsa-miR-1229-3p	ENSG00000106153
hsa-miR-1229-3p	ENSG00000144231
hsa-miR-1229-3p	ENSG00000125741
hsa-miR-1229-3p	ENSG00000126878
hsa-miR-1229-3p	ENSG00000162139
hsa-miR-1229-3p	ENSG00000129187
hsa-miR-1229-3p	ENSG00000114933
hsa-miR-1229-3p	ENSG00000163026
hsa-miR-1229-3p	ENSG00000132792
hsa-miR-1229-3p	ENSG00000198794
hsa-miR-1229-3p	ENSG00000173402
hsa-miR-1229-3p	ENSG00000179604
hsa-miR-1229-3p	ENSG00000103494
hsa-miR-1229-3p	ENSG00000196367
hsa-miR-1229-3p	ENSG00000121579
hsa-miR-1229-3p	ENSG00000003393
hsa-miR-1229-3p	ENSG00000167548
hsa-miR-1229-3p	ENSG00000110321
hsa-miR-1229-3p	ENSG00000112473
hsa-miR-1229-3p	ENSG00000183207
hsa-miR-1229-3p	ENSG00000143373
hsa-miR-1229-3p	ENSG00000105323
hsa-miR-1229-3p	ENSG00000174243
hsa-miR-1229-3p	ENSG00000177951
hsa-miR-1229-3p	ENSG00000204256
hsa-miR-1229-3p	ENSG00000066629
hsa-miR-1229-3p	ENSG00000163930
hsa-miR-1229-3p	ENSG00000173757
hsa-miR-1229-3p	ENSG00000115268
hsa-miR-1229-3p	ENSG00000170540
hsa-miR-1229-3p	ENSG00000147164
hsa-miR-1229-3p	ENSG00000164916
hsa-miR-1229-3p	ENSG00000170145
hsa-miR-1229-3p	ENSG00000180957
hsa-miR-1229-3p	ENSG00000136485
hsa-miR-1229-3p	ENSG00000164924
hsa-miR-1229-3p	ENSG00000144815
hsa-miR-1229-3p	ENSG00000159217
hsa-miR-3065-5p	ENSG00000146223
hsa-miR-495-3p	ENSG00000057935
hsa-miR-495-3p	ENSG00000125398
hsa-miR-495-3p	ENSG00000184489
hsa-miR-495-3p	ENSG00000168283
hsa-miR-495-3p	ENSG00000165240
hsa-miR-1229-3p	ENSG00000149187
hsa-miR-3065-5p	ENSG00000116667
hsa-miR-495-3p	ENSG00000134371
hsa-miR-1229-3p	ENSG00000205339
hsa-miR-495-3p	ENSG00000110917
hsa-miR-495-3p	ENSG00000134717
hsa-miR-3065-5p	ENSG00000108256
hsa-miR-495-3p	ENSG00000108510
hsa-miR-1229-3p	ENSG00000134049
hsa-miR-495-3p	ENSG00000075420
hsa-miR-3065-5p	ENSG00000163788
hsa-miR-495-3p	ENSG00000135535
hsa-miR-3065-5p	ENSG00000124766
hsa-miR-495-3p	ENSG00000188811
hsa-miR-1275	ENSG00000140443
hsa-miR-495-3p	ENSG00000153006
hsa-miR-1275	ENSG00000189091
hsa-miR-1275	ENSG00000198720
hsa-miR-1275	ENSG00000141503
hsa-miR-495-3p	ENSG00000182481
hsa-miR-495-3p	ENSG00000134758
hsa-miR-495-3p	ENSG00000130164
hsa-miR-495-3p	ENSG00000197714
hsa-miR-3065-5p	ENSG00000163714
hsa-miR-495-3p	ENSG00000156671
hsa-miR-1275	ENSG00000150776
hsa-miR-495-3p	ENSG00000143384
hsa-miR-495-3p	ENSG00000117139
hsa-miR-1275	ENSG00000102543
hsa-miR-3065-5p	ENSG00000132872
hsa-miR-495-3p	ENSG00000071051
hsa-miR-3065-5p	ENSG00000071051
hsa-miR-495-3p	ENSG00000138685
hsa-miR-3065-5p	ENSG00000198740
hsa-miR-1275	ENSG00000197451
hsa-miR-495-3p	ENSG00000179456
hsa-miR-3065-5p	ENSG00000198625
hsa-miR-3065-5p	ENSG00000037965
hsa-miR-495-3p	ENSG00000185716
hsa-miR-495-3p	ENSG00000084733
hsa-miR-495-3p	ENSG00000037749
hsa-miR-495-3p	ENSG00000170312
hsa-miR-495-3p	ENSG00000253626
hsa-miR-3065-5p	ENSG00000184007
hsa-miR-495-3p	ENSG00000159202
hsa-miR-1229-3p	ENSG00000089685
hsa-miR-1275	ENSG00000203879
hsa-miR-3065-5p	ENSG00000173674
hsa-miR-1229-3p	ENSG00000174010
hsa-miR-3065-5p	ENSG00000099942
hsa-miR-1275	ENSG00000166233
hsa-miR-1229-3p	ENSG00000165119
hsa-miR-495-3p	ENSG00000151224
hsa-miR-4488	ENSG00000099625
hsa-miR-3065-5p	ENSG00000090060
hsa-miR-1275	ENSG00000158955
hsa-miR-1275	ENSG00000128709
hsa-miR-3065-5p	ENSG00000183230
hsa-miR-1229-3p	ENSG00000142149
hsa-miR-3065-5p	ENSG00000274070
hsa-miR-3065-5p	ENSG00000163251
hsa-miR-495-3p	ENSG00000177932
hsa-miR-1275	ENSG00000127445
hsa-miR-495-3p	ENSG00000189144
hsa-miR-4488	ENSG00000179115
hsa-miR-495-3p	ENSG00000168461
hsa-miR-1275	ENSG00000166333
hsa-miR-495-3p	ENSG00000167904
hsa-miR-4488	ENSG00000253626
hsa-miR-1275	ENSG00000164889
hsa-miR-495-3p	ENSG00000205581
hsa-miR-495-3p	ENSG00000165264
hsa-miR-1275	ENSG00000133115
hsa-miR-1275	ENSG00000133895
hsa-miR-4488	ENSG00000133895
hsa-miR-1275	ENSG00000101945
hsa-miR-4488	ENSG00000198563
hsa-miR-495-3p	ENSG00000196821
hsa-miR-1275	ENSG00000130311
hsa-miR-1275	ENSG00000187720
hsa-miR-1275	ENSG00000070808
hsa-miR-1275	ENSG00000173653
hsa-miR-4488	ENSG00000006695
hsa-miR-1275	ENSG00000101608
hsa-miR-495-3p	ENSG00000112715
hsa-miR-1275	ENSG00000244687
hsa-miR-1275	ENSG00000177889
hsa-miR-1275	ENSG00000153443
hsa-miR-4488	ENSG00000084652
hsa-miR-1275	ENSG00000124208
hsa-miR-1275	ENSG00000240849
hsa-miR-1275	ENSG00000112079
hsa-miR-3065-5p	ENSG00000182957
hsa-miR-4488	ENSG00000142178
hsa-miR-1275	ENSG00000139718
hsa-miR-1275	ENSG00000142864
hsa-miR-495-3p	ENSG00000169439
hsa-miR-1275	ENSG00000124782
hsa-miR-1275	ENSG00000162302
hsa-miR-495-3p	ENSG00000181852
hsa-miR-1275	ENSG00000164327
hsa-miR-1275	ENSG00000107185
hsa-miR-1275	ENSG00000139998
hsa-miR-1275	ENSG00000142949
hsa-miR-1275	ENSG00000206527
hsa-miR-1275	ENSG00000222036
hsa-miR-1275	ENSG00000187537
hsa-miR-1275	ENSG00000067225
hsa-miR-1229-3p	ENSG00000171208
hsa-miR-1275	ENSG00000160877
hsa-miR-4488	ENSG00000160877
hsa-miR-4488	ENSG00000147065
hsa-miR-4488	ENSG00000167470
hsa-miR-1275	ENSG00000254726
hsa-miR-1275	ENSG00000163428
hsa-miR-1275	ENSG00000167548
hsa-miR-1275	ENSG00000179454
hsa-miR-4488	ENSG00000143321
hsa-miR-1275	ENSG00000167491
hsa-miR-1275	ENSG00000127334
hsa-miR-4488	ENSG00000062485
hsa-miR-495-3p	ENSG00000121058
hsa-miR-1275	ENSG00000108091
hsa-miR-4488	ENSG00000179218
hsa-miR-1275	ENSG00000179218
hsa-miR-495-3p	ENSG00000181904
hsa-miR-1275	ENSG00000160392
hsa-miR-1275	ENSG00000156983
hsa-miR-495-3p	ENSG00000086062
hsa-miR-495-3p	ENSG00000175414
hsa-miR-495-3p	ENSG00000154945
hsa-miR-1275	ENSG00000123908
hsa-miR-1275	ENSG00000075624
hsa-miR-1275	ENSG00000179862
hsa-miR-1275	ENSG00000080189
hsa-miR-1275	ENSG00000132122
hsa-miR-1275	ENSG00000203989
hsa-miR-1275	ENSG00000197457
hsa-miR-4488	ENSG00000197457
hsa-miR-4488	ENSG00000165661
hsa-miR-4488	ENSG00000187720
hsa-miR-495-3p	ENSG00000177426
hsa-miR-1275	ENSG00000116030
hsa-miR-1275	ENSG00000110367
hsa-miR-1275	ENSG00000077514
hsa-miR-4488	ENSG00000125492
hsa-miR-1275	ENSG00000138083
hsa-miR-3065-5p	ENSG00000122641
hsa-miR-495-3p	ENSG00000122641
hsa-miR-1275	ENSG00000091262
hsa-miR-1275	ENSG00000116095
hsa-miR-1275	ENSG00000175592
hsa-miR-3065-5p	ENSG00000141748
hsa-miR-1275	ENSG00000130517
hsa-miR-1275	ENSG00000132026
hsa-miR-4488	ENSG00000179314
hsa-miR-4488	ENSG00000177045
hsa-miR-4488	ENSG00000133392
hsa-miR-1275	ENSG00000206562
hsa-miR-1275	ENSG00000188566
hsa-miR-1275	ENSG00000115107
hsa-miR-4488	ENSG00000115107
hsa-miR-4488	ENSG00000158669
hsa-miR-1275	ENSG00000107738
hsa-miR-4488	ENSG00000197530
hsa-miR-4488	ENSG00000204231
hsa-miR-1275	ENSG00000116544
hsa-miR-4488	ENSG00000075891
hsa-miR-1275	ENSG00000162885
hsa-miR-4488	ENSG00000198373
hsa-miR-4488	ENSG00000266964
hsa-miR-4488	ENSG00000189375
hsa-miR-1275	ENSG00000112739
hsa-miR-4488	ENSG00000185236
hsa-miR-1275	ENSG00000178363
hsa-miR-4488	ENSG00000013810
hsa-miR-1275	ENSG00000178719
hsa-miR-4488	ENSG00000172354
hsa-miR-1275	ENSG00000103335
hsa-miR-1275	ENSG00000167363
hsa-miR-1275	ENSG00000165495
hsa-miR-1275	ENSG00000029534
hsa-miR-4488	ENSG00000149823
hsa-miR-1275	ENSG00000142494
hsa-miR-4488	ENSG00000141965
hsa-miR-4488	ENSG00000135097
hsa-miR-1275	ENSG00000105447
hsa-miR-4488	ENSG00000128564
hsa-miR-4488	ENSG00000124140
hsa-miR-4488	ENSG00000108551
hsa-miR-4488	ENSG00000008441
hsa-miR-4488	ENSG00000171532
hsa-miR-1275	ENSG00000121579
hsa-miR-495-3p	ENSG00000044574
hsa-miR-3065-5p	ENSG00000115677
hsa-miR-4488	ENSG00000188486
hsa-miR-4488	ENSG00000173812
hsa-miR-495-3p	ENSG00000187498
hsa-miR-1275	ENSG00000106665
hsa-miR-1275	ENSG00000142623
hsa-miR-1229-3p	ENSG00000141448
hsa-miR-495-3p	ENSG00000119283
hsa-miR-3065-5p	ENSG00000111642
hsa-miR-4488	ENSG00000161642
hsa-miR-495-3p	ENSG00000108395
hsa-miR-495-3p	ENSG00000164938
hsa-miR-3065-5p	ENSG00000137801
hsa-miR-3065-5p	ENSG00000008282
hsa-miR-1275	ENSG00000120519
hsa-miR-4488	ENSG00000120519
hsa-miR-1275	ENSG00000131242
hsa-miR-1275	ENSG00000174307
hsa-miR-3065-5p	ENSG00000240694
hsa-miR-495-3p	ENSG00000213024
hsa-miR-495-3p	ENSG00000164741
hsa-miR-3065-5p	ENSG00000158480
hsa-miR-495-3p	ENSG00000168209
hsa-miR-4488	ENSG00000189306
hsa-miR-1229-3p	ENSG00000090612
hsa-miR-495-3p	ENSG00000171867
hsa-miR-495-3p	ENSG00000080824
hsa-miR-1275	ENSG00000165023
hsa-miR-4488	ENSG00000110046
hsa-miR-3065-5p	ENSG00000143793
hsa-miR-3065-5p	ENSG00000076242
hsa-miR-1229-3p	ENSG00000187801
hsa-miR-1275	ENSG00000120784
hsa-miR-495-3p	ENSG00000114853
hsa-miR-495-3p	ENSG00000132424
hsa-miR-1275	ENSG00000116871
hsa-miR-495-3p	ENSG00000176390
hsa-miR-1275	ENSG00000166170
hsa-miR-3065-5p	ENSG00000137822
hsa-miR-3065-5p	ENSG00000245680
hsa-miR-3065-5p	ENSG00000250423
hsa-miR-3065-5p	ENSG00000154654
hsa-miR-495-3p	ENSG00000154654
hsa-miR-495-3p	ENSG00000064012
hsa-miR-495-3p	ENSG00000168724
hsa-miR-495-3p	ENSG00000099810
hsa-miR-3065-5p	ENSG00000254415
hsa-miR-495-3p	ENSG00000254415
hsa-miR-495-3p	ENSG00000176244
hsa-miR-3065-5p	ENSG00000146833
hsa-miR-4488	ENSG00000186103
hsa-miR-1229-3p	ENSG00000172057
hsa-miR-1229-3p	ENSG00000166856
hsa-miR-4488	ENSG00000254521
hsa-miR-495-3p	ENSG00000130035
hsa-miR-3065-5p	ENSG00000132970
hsa-miR-495-3p	ENSG00000213064
hsa-miR-1229-3p	ENSG00000145391
hsa-miR-495-3p	ENSG00000060749
hsa-miR-495-3p	ENSG00000081913
hsa-miR-495-3p	ENSG00000156453
hsa-miR-1229-3p	ENSG00000175591
hsa-miR-495-3p	ENSG00000145555
hsa-miR-1229-3p	ENSG00000050393
hsa-miR-3065-5p	ENSG00000143772
hsa-miR-3065-5p	ENSG00000017427
hsa-miR-495-3p	ENSG00000147421
hsa-miR-4488	ENSG00000110987
hsa-miR-495-3p	ENSG00000119682
hsa-miR-1275	ENSG00000169083
hsa-miR-3065-5p	ENSG00000147677
hsa-miR-3065-5p	ENSG00000198380
hsa-miR-495-3p	ENSG00000133028
hsa-miR-3065-5p	ENSG00000145555
hsa-miR-495-3p	ENSG00000141582
hsa-miR-3065-5p	ENSG00000127526
hsa-miR-3065-5p	ENSG00000105939
hsa-miR-3065-5p	ENSG00000164751
hsa-miR-495-3p	ENSG00000164209
hsa-miR-3065-5p	ENSG00000053371
hsa-miR-3065-5p	ENSG00000101940
hsa-miR-3065-5p	ENSG00000134419
hsa-miR-495-3p	ENSG00000055208
hsa-miR-3065-5p	ENSG00000119616
hsa-miR-495-3p	ENSG00000163638
hsa-miR-495-3p	ENSG00000109929
hsa-miR-3065-5p	ENSG00000158109
hsa-miR-495-3p	ENSG00000198732
hsa-miR-3065-5p	ENSG00000138069
hsa-miR-495-3p	ENSG00000037965
hsa-miR-4488	ENSG00000187097
hsa-miR-495-3p	ENSG00000143632
hsa-miR-495-3p	ENSG00000170571
hsa-miR-3065-5p	ENSG00000149658
hsa-miR-3065-5p	ENSG00000109189
hsa-miR-4488	ENSG00000137221
hsa-miR-495-3p	ENSG00000134809
hsa-miR-3065-5p	ENSG00000113387
hsa-miR-3065-5p	ENSG00000145592
hsa-miR-3065-5p	ENSG00000155961
hsa-miR-3065-5p	ENSG00000168300
hsa-miR-495-3p	ENSG00000120265
hsa-miR-1275	ENSG00000172057
hsa-miR-1229-3p	ENSG00000185697
hsa-miR-495-3p	ENSG00000133030
hsa-miR-495-3p	ENSG00000070018
hsa-miR-3065-5p	ENSG00000153487
hsa-miR-3065-5p	ENSG00000120093
hsa-miR-4488	ENSG00000142459
hsa-miR-3065-5p	ENSG00000165322
hsa-miR-495-3p	ENSG00000123908
hsa-miR-1229-3p	ENSG00000203326
hsa-miR-1229-3p	ENSG00000005801
hsa-miR-495-3p	ENSG00000168066
hsa-miR-495-3p	ENSG00000100335
hsa-miR-1275	ENSG00000253276
hsa-miR-4488	ENSG00000253276
hsa-miR-495-3p	ENSG00000164172
hsa-miR-495-3p	ENSG00000143256
hsa-miR-495-3p	ENSG00000183779
