miRNA_ID	Target_ID
hsa-miR-148a-3p	ENSG00000130816
hsa-miR-7-5p	ENSG00000145335
hsa-miR-148a-3p	ENSG00000118707
hsa-miR-345-5p	ENSG00000124762
hsa-miR-7-5p	ENSG00000149269
hsa-miR-7-5p	ENSG00000146648
hsa-miR-345-5p	ENSG00000103222
hsa-miR-7-5p	ENSG00000103222
hsa-miR-7-5p	ENSG00000169047
hsa-miR-7-5p	ENSG00000185950
hsa-miR-199a-5p	ENSG00000104365
hsa-miR-199a-5p	ENSG00000163660
hsa-miR-148a-3p	ENSG00000144852
hsa-miR-7-5p	ENSG00000132155
hsa-miR-7-5p	ENSG00000136026
hsa-miR-7-5p	ENSG00000155508
hsa-miR-7-5p	ENSG00000117519
hsa-miR-7-5p	ENSG00000116489
hsa-miR-7-5p	ENSG00000168374
hsa-miR-7-5p	ENSG00000070087
hsa-miR-7-5p	ENSG00000131467
hsa-miR-7-5p	ENSG00000178209
hsa-miR-199a-5p	ENSG00000128342
hsa-miR-7-5p	ENSG00000119969
hsa-miR-199a-5p	ENSG00000171223
hsa-miR-199a-5p	ENSG00000169057
hsa-miR-199a-5p	ENSG00000157557
hsa-miR-7-5p	ENSG00000136450
hsa-miR-148a-3p	ENSG00000100784
hsa-miR-7-5p	ENSG00000103257
hsa-miR-199a-5p	ENSG00000204580
hsa-miR-7-5p	ENSG00000140443
hsa-miR-199a-5p	ENSG00000173327
hsa-miR-148a-3p	ENSG00000110148
hsa-miR-199a-5p	ENSG00000100644
hsa-miR-216b-5p	ENSG00000133703
hsa-miR-199a-5p	ENSG00000125398
hsa-miR-7-5p	ENSG00000171608
hsa-miR-7-5p	ENSG00000120093
hsa-miR-148a-3p	ENSG00000169047
hsa-miR-7-5p	ENSG00000169398
hsa-miR-7-5p	ENSG00000120075
hsa-miR-7-5p	ENSG00000171791
hsa-miR-148a-3p	ENSG00000115170
hsa-miR-199a-5p	ENSG00000141646
hsa-miR-148a-3p	ENSG00000134970
hsa-miR-199a-5p	ENSG00000155269
hsa-miR-216b-5p	ENSG00000101266
hsa-miR-199a-5p	ENSG00000141736
hsa-miR-199a-5p	ENSG00000076248
hsa-miR-7-5p	ENSG00000013306
hsa-miR-7-5p	ENSG00000091138
hsa-miR-7-5p	ENSG00000213231
hsa-miR-7-5p	ENSG00000146963
hsa-miR-7-5p	ENSG00000099940
hsa-miR-7-5p	ENSG00000170374
hsa-miR-7-5p	ENSG00000131711
hsa-miR-7-5p	ENSG00000114383
hsa-miR-7-5p	ENSG00000204217
hsa-miR-7-5p	ENSG00000174748
hsa-miR-7-5p	ENSG00000011009
hsa-miR-7-5p	ENSG00000186226
hsa-miR-7-5p	ENSG00000169495
hsa-miR-7-5p	ENSG00000182544
hsa-miR-7-5p	ENSG00000167767
hsa-miR-7-5p	ENSG00000276043
hsa-miR-7-5p	ENSG00000182963
hsa-miR-7-5p	ENSG00000170632
hsa-miR-7-5p	ENSG00000152315
hsa-miR-7-5p	ENSG00000129667
hsa-miR-7-5p	ENSG00000198959
hsa-miR-7-5p	ENSG00000244537
hsa-miR-7-5p	ENSG00000103326
hsa-miR-7-5p	ENSG00000171067
hsa-miR-7-5p	ENSG00000110079
hsa-miR-7-5p	ENSG00000075290
hsa-miR-7-5p	ENSG00000015479
hsa-miR-7-5p	ENSG00000280987
hsa-miR-7-5p	ENSG00000172146
hsa-miR-7-5p	ENSG00000124225
hsa-miR-7-5p	ENSG00000053371
hsa-miR-7-5p	ENSG00000120820
hsa-miR-7-5p	ENSG00000054690
hsa-miR-7-5p	ENSG00000172663
hsa-miR-7-5p	ENSG00000185803
hsa-miR-7-5p	ENSG00000182591
hsa-miR-7-5p	ENSG00000231925
hsa-miR-7-5p	ENSG00000113578
hsa-miR-7-5p	ENSG00000013016
hsa-miR-7-5p	ENSG00000058085
hsa-miR-7-5p	ENSG00000105197
hsa-miR-7-5p	ENSG00000177200
hsa-miR-7-5p	ENSG00000163577
hsa-miR-7-5p	ENSG00000145431
hsa-miR-7-5p	ENSG00000211460
hsa-miR-7-5p	ENSG00000177465
hsa-miR-7-5p	ENSG00000162144
hsa-miR-7-5p	ENSG00000185009
hsa-miR-7-5p	ENSG00000143641
hsa-miR-7-5p	ENSG00000151892
hsa-miR-7-5p	ENSG00000021300
hsa-miR-7-5p	ENSG00000159596
hsa-miR-7-5p	ENSG00000179715
hsa-miR-7-5p	ENSG00000133265
hsa-miR-7-5p	ENSG00000122359
hsa-miR-7-5p	ENSG00000179051
hsa-miR-7-5p	ENSG00000115827
hsa-miR-7-5p	ENSG00000214160
hsa-miR-7-5p	ENSG00000102221
hsa-miR-7-5p	ENSG00000171302
hsa-miR-7-5p	ENSG00000143061
hsa-miR-7-5p	ENSG00000137713
hsa-miR-7-5p	ENSG00000058804
hsa-miR-7-5p	ENSG00000130713
hsa-miR-7-5p	ENSG00000186300
hsa-miR-7-5p	ENSG00000162104
hsa-miR-7-5p	ENSG00000100647
hsa-miR-7-5p	ENSG00000082213
hsa-miR-7-5p	ENSG00000148730
hsa-miR-7-5p	ENSG00000115677
hsa-miR-7-5p	ENSG00000107949
hsa-miR-7-5p	ENSG00000159579
hsa-miR-7-5p	ENSG00000182952
hsa-miR-7-5p	ENSG00000131381
hsa-miR-7-5p	ENSG00000188647
hsa-miR-7-5p	ENSG00000198824
hsa-miR-7-5p	ENSG00000091039
hsa-miR-7-5p	ENSG00000168591
hsa-miR-7-5p	ENSG00000177885
hsa-miR-7-5p	ENSG00000179833
hsa-miR-7-5p	ENSG00000115137
hsa-miR-7-5p	ENSG00000104369
hsa-miR-7-5p	ENSG00000196182
hsa-miR-7-5p	ENSG00000198876
hsa-miR-7-5p	ENSG00000179335
hsa-miR-7-5p	ENSG00000196517
hsa-miR-7-5p	ENSG00000115226
hsa-miR-7-5p	ENSG00000110047
hsa-miR-7-5p	ENSG00000138760
hsa-miR-7-5p	ENSG00000119912
hsa-miR-7-5p	ENSG00000108179
hsa-miR-7-5p	ENSG00000173039
hsa-miR-7-5p	ENSG00000169718
hsa-miR-7-5p	ENSG00000183150
hsa-miR-7-5p	ENSG00000124226
hsa-miR-7-5p	ENSG00000147955
hsa-miR-7-5p	ENSG00000129351
hsa-miR-7-5p	ENSG00000081985
hsa-miR-7-5p	ENSG00000069849
hsa-miR-7-5p	ENSG00000152784
hsa-miR-7-5p	ENSG00000141753
hsa-miR-7-5p	ENSG00000120903
hsa-miR-7-5p	ENSG00000162407
hsa-miR-7-5p	ENSG00000009335
hsa-miR-7-5p	ENSG00000103507
hsa-miR-7-5p	ENSG00000158716
hsa-miR-7-5p	ENSG00000089351
hsa-miR-7-5p	ENSG00000179604
hsa-miR-7-5p	ENSG00000135480
hsa-miR-7-5p	ENSG00000140470
hsa-miR-7-5p	ENSG00000145700
hsa-miR-7-5p	ENSG00000082497
hsa-miR-7-5p	ENSG00000170892
hsa-miR-7-5p	ENSG00000099817
